name,id,subject,keywords,API_type,MD_standards
ANU Data Commons,,1 Humanities and Social Sciences#11 Humanities#2 Life Sciences#21 Biology#3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics#34 Geosciences (including Geography),astronomy#digital humanities#earth sciences#phenomics#seismology,,DDI - Data Documentation Initiative#Dublin Core
Apollo,FAIRsharing_doi:1025504/FAIRsharing.38c26a#OpenDOAR:109,"1 Humanities and Social Sciences#11 Humanities#12 Social and Behavioural Sciences#2 Life Sciences#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#32 Physics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences",FAIR#cancer#computer#cultures#economics#history#literature#multidisciplinary#social science#zoology,OAI-PMH#REST,DataCite Metadata Schema#Dublin Core#Repository-Developed Metadata Schemas
Adjusted and Homogenized Canadian Climate Data,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)",climatology#meteorology#precipitation#surface air temperature#surface pressure#surface wind speed,,
ICTWSS database,,1 Humanities and Social Sciences#112 Economics#11202 Economic and Social Policy#12 Social and Behavioural Sciences,social pacts#state intervention#trade unions#wage settings,,
Duke Research Data Repository,FAIRsharing_DOI:10.25504/FAIRsharing.sbikSF,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#multidisciplinary,,Dublin Core#Repository-Developed Metadata Schemas
East Hants Open Data,,3 Natural Sciences#317 Geography#34 Geosciences (including Geography)#4 Engineering Sciences#410 Construction Engineering and Architecture#45 Construction Engineering and Architecture,Bay of Fundy#Metro Halifax#citizen engagement#maps#trails,REST,
"Wellcome Trust Sanger Institute, Scientific resources",,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#204 Microbiology, Virology and Immunology#20404 Virology#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20713 Basic Veterinary Medical Science#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",Supplementary Table#bacterial#bacteriophage#disease vector#fungal#gorilla#helminth#human#mouse#plasmid#protozoan#vertebrate#virus#yeast#zebrafish,FTP,
University of Windsor Dataverse,,1 Humanities and Social Sciences#1 Humanities and Social Sciences#2 Life Sciences#4 Engineering Sciences,Canada#multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
The Abdul Latif Jameel Poverty Action Lab,,"1 Humanities and Social Sciences#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10603 African, American and Oceania Studies#11 Humanities#112 Economics#11202 Economic and Social Policy#12 Social and Behavioural Sciences",economic policy#education#social sciences,REST#SWORD,DDI - Data Documentation Initiative
B2SHARE Server Forschungszentrum Jülich,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),B2Share#EUDAT#FAIR,OAI-PMH#REST,
Répertoire International des Sources Musicales (RISM),,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10302 Musicology#11 Humanities",music#scores,SPARQL#other,DCAT - Data Catalog Vocabulary
Site Survey Data Bank,https://fairsharing.org/3103,3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#34 Geosciences (including Geography),PDB#Proposal Database#drilling,,
Databank of Official Statistics on Quebec,,1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,CADRISQ#economic data#social data,,
Community Coordinated Modeling Center,,3 Natural Sciences#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#32 Physics#34 Geosciences (including Geography),heliosphere#ionosphere#magnetosphere#solar#space science#space weather#thermosphere,,SPASE Data Model
GloPAD,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities",GloPAC#PARCs#Performing Arts#Performing Arts Resource Centers,,Repository-Developed Metadata Schemas
National Avian Laboratory Animal Resource Bank,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#22 Medicine",biomedicine#germplasm#immunology#influenza vaccine#poultry laboratory#veterinary medicine,,
Forschungsdatenzentrum Bildung,,1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences,pedagogy#qualitative data#quantitative data#teaching material,,DDI - Data Documentation Initiative
University Hospital Medical Information Network Individual Case Data Repository,biodbcore-001434,2 Life Sciences#205 Medicine#20509 Pharmacology#22 Medicine,COVID-19#ICMJE#ICTRP#WHO#clinical trials#patient study#pharmaceuticals#surgery,,
Manitoba Population Research Data Repository,,"1 Humanities and Social Sciences#109 Education Sciences#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20520 Pediatric and Adolescent Medicine#22 Medicine",social sciences#social services#statistics,,
Scientific Data Repository,,"1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences#2 Life Sciences#22 Medicine#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",healthcare#interactive data visualization#multidisciplinary#statistical methods#visual analytics,,
UNSWorks,OpenDOAR:17#ROAR:3116,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#multidisciplinary,,DataCite Metadata Schema#Dublin Core
Network Data Exchange,FAIRsharing_doi:10.25504/FAIRsharing.8nq9t6#OMICS_29036#RRID:SCR_003943#RRID:nlx_158334,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,COVID-19#biological networks#cancer#molecular interaction#pathway model,REST,
BCCM/ITM Mycobacteria Collection,FAIRsharing_doi:10.25504/FAIRsharing.5ckyx7,"2 Life Sciences#204 Microbiology, Virology and Immunology#20402 Microbial Ecology and Applied Microbiology#21 Biology#22 Medicine",drug resistance#micobacteria#microbiology#tuberculosis,,
Savannah,FAIRsharing_doi:10.25504/FAIRsharing.3f074b,"4 Engineering Sciences#409 Computer Science#40902 Software Technology#44 Computer Science, Electrical and System Engineering",open source,FTP#other,
Egypt's Information Portal,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,Egypt#GeoNames.org#agriculture#balance of payments#capital market#communication#culture#debt#education#electricity#health#housing#irrigation#labor#macroeconomics#mass media#multidisciplinary#natural gas#petroleum#population#price indexes#public utilities#social security#tourism#transportation,,
STARK-B,ISSN 2429-6465,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#30801 Optics, Quantum Optics, Atoms, Molecules, Plasmas#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#32 Physics",atmospheres#atomic data#atomic processes#laser equipments#line#profiles#spectroscopic diagnostics#stars#stellar atmospheres#stellar envelopes,,
SISSA Open Data,,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20102 Biophysics#20103 Cell Biology#20104 Structural Biology#20105 General Genetics#20106 Developmental Biology#206 Neurosciences#21 Biology#22 Medicine#3 Natural Sciences#32 Physics#33 Mathematics,multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
SilkPathDB,FAIRsharin_doi:10.25504/FAIRsharing.801eea,"2 Life Sciences#201 Basic Biological and Medical Research#204 Microbiology, Virology and Immunology#205 Medicine#20506 Pathology and Forensic Medicine#21 Biology#22 Medicine",Bombys mandarina#Bombyx mori Dazao#Lepidoptera insects#Papilio#Pieris rapae#bacteria infection#fungi infection#microsporidia infection#virus infection,,
Meteoritical bulletin database,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,astronomy#meteorites#planetary science,,
Liverpool COVID-19 Drug Interactions,biodbcore-001460,2 Life Sciences#205 Medicine#20509 Pharmacology#22 Medicine,COVID-19,,
Pain Genes Database,RRID:SCR_004771#RRID:nlx_77039,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#205 Medicine#21 Biology#22 Medicine",analgesia#bioinformatic#genomics#hypersensitivity#mouse#nociception#pain processing,,
Molecular INTeraction Database,FAIRsharing_doi:10.25504/FAIRsharing.2bdvmk#OMICS_02928#RRID:SCR_001523#RRID:nlx_152821,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#21 Biology,genetic interaction#human proteins#molecular interaction#peptide interaction#protein interacting partners#protein interaction#protein-protein interaction#viral proteins,,
Canadian Space Science Data Portal,,3 Natural Sciences#32 Physics,astrophysics#space data#space science#space weather,,
CATH,FAIRsharing_doi:10.25504/FAIRsharing.xgcyyn#MIR:00000210#RRID:SCR_007583#RRID:nif-0000-02640,2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#21 Biology,annotation#classification#homologous superfamily#molecular biology#protein#protein cluster#structure,FTP#other,
UNB Libraries Dataverse Research Data Repository,,"1 Humanities and Social Sciences#111 Social Sciences#112 Economics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#34 Geosciences (including Geography)",business#cadastral maps#chemistry#earth#environment#management#multidisciplinary#survey,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
Open Data Prince George,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,
University of Strathclyde KnowledgeBase Datasets,,"1 Humanities and Social Sciences#112 Economics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20508 Pharmacy#22 Medicine#3 Natural Sciences#31 Chemistry#32 Physics#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",multidisciplinary,,
Brain-CODE,FAIRsharing_doi:10.25504/FAIRsharing.f12f67#RRID:SCR_015877,"2 Life Sciences#201 Basic Biological and Medical Research#203 Zoology#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#20504 Physiology#206 Neurosciences#21 Biology#22 Medicine","animal#brain disorders#cerebral palsy#demography#depression#epilepsy#genomics#human#imaging (MRI, EEG, MEG, DTI, Ocular)#neurodegenerative diseases#proteomics",,
City of Regina Open Data,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences,budget#citizen science#financial#parking,REST#SOAP,
Sextant,FAIRsharing_doi:10.25504/FAIRsharing.85b457,"2 Life Sciences#21 Biology#3 Natural Sciences#31 Chemistry#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#32 Physics#34 Geosciences (including Geography)",aquaculture#bathymetry#biogeochemistry#biology#coastal environment#deep-sea environment#fisheries#geology#geophysics#marine administrative data#marine sciences#meteorology#navigation data#oceanographical cruises#physics#remote sensing#satellite#seismics#water column,other,ISO 19115
Grey County Open Data,,"1 Humanities and Social Sciences#2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20707 Agricultural and Food Process Engineering#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#4 Engineering Sciences#407 Systems Engineering#40704 Traffic and Transport Systems, Logistics#44 Computer Science, Electrical and System Engineering",multidisciplinary,,
The Tree Atlas Project,,2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#21 Biology,Africa#Namibia#Shrubs#Trees#Woody Plants,,Repository-Developed Metadata Schemas
BCCDC Data,,2 Life Sciences#22 Medicine,COVID-19,,
Seafloor Sediments Data Collection,,3 Natural Sciences#313 Atmospheric Science and Oceanography#34 Geosciences (including Geography),geology#geophysics#gis mapping#sea floor#seafloor rock#sedimentary deposition#submersible#tectonics,,
KU Leuven RDR,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#multidisciplinary,,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
Landcare Research Data Repository,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#34 Geosciences (including Geography)",New Zealand#biodiversity#biosecurity#ecology#fungi#greenhouse gases#invasive species#land resources#pest management#plants#soils#sustainability#systematics#taxonomy#water,,DataCite Metadata Schema
Open Data DK,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,
Portal de Datos Abiertos de la Pontificia Universidad Católica del Perú,,"1 Humanities and Social Sciences#11 Humanities#112 Economics#11204 Business Administration#12 Social and Behavioural Sciences#2 Life Sciences#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#311 Astrophysics and Astronomy#32 Physics#4 Engineering Sciences",multidisciplinary,,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core
HomoMINT,,"2 Life Sciences#201 Basic Biological and Medical Research#204 Microbiology, Virology and Immunology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",human#inferences#molecular genetics#proteins#virus,,
GrainGenes,FAIRsharing_doi:10.25504/FAIRsharing.pcs58g#RRID:SCR_007696#RRID:nif-0000-02925,"2 Life Sciences#202 Plant Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",agriculture#agriculture#avena#barley#farming#gene expression#gene sequences#oats#plant genome#rye#wheat,,
